customer_id,first_name,last_name,email,street,city,state,country
0,Dennis,Goodwin,erichorton@example.com,0068 Reed Wells,New Richard,Alabama,Trinidad and Tobago
1,Juan,Perez,williamjohnston@example.org,581 Walter Hills,Lake Edwintown,North Carolina,Haiti
2,Nancy,Fowler,james96@example.net,04334 Gibson Rapid,South Kara,South Dakota,British Virgin Islands
3,Steven,Mann,patrick31@example.net,4787 Rivera Loop Suite 964,Smithbury,Maine,Liechtenstein
4,Anthony,Higgins,morgankristin@example.com,03890 Joshua Plain,East Kimberly,Oregon,Morocco
5,Chelsea,Carr,khuff@example.com,9633 Sandy Points,South Coreyhaven,Pennsylvania,British Indian Ocean Territory (Chagos Archipelago)
6,Cassandra,Lewis,annmontgomery@example.com,21326 Lee Drive Suite 943,North Kristinborough,Kansas,Holy See (Vatican City State)
7,Tony,Johnson,xwhite@example.com,59075 Howe Forest,Lake Terrimouth,Idaho,New Zealand
8,Robin,Alvarez,carol81@example.net,10493 John Ways Apt. 813,Louisberg,South Carolina,Mauritius
9,Christopher,Mckenzie,sandersalexander@example.com,746 Krueger Ways,Lake Samuelshire,Arkansas,Ireland
10,Nicholas,Turner,brandonmarshall@example.org,414 Benson Hollow,Port Kimberlyburgh,Hawaii,Papua New Guinea
11,Robert,Vazquez,jason41@example.net,24264 Estrada Cape,New Amandahaven,Iowa,Western Sahara
12,Monica,Johnson,bonnie33@example.com,94623 Terry Lodge,New Ashleyshire,Wyoming,Saint Helena
13,Crystal,Williams,floydjoshua@example.net,90016 Samantha Fords,Port Elizabethfurt,South Carolina,Ireland
14,Eric,Graves,thompsonmartha@example.com,08211 Smith Loaf Apt. 905,Thomasside,Oregon,Turkey
15,Rebecca,Mccarthy,denisegardner@example.com,45559 Skinner Gardens,Tammymouth,Indiana,Spain
16,Tyler,Ross,ericaevans@example.org,12489 Kimberly Falls Apt. 346,Wolfmouth,New York,Kuwait
17,Lisa,Gregory,brandysimmons@example.com,88776 Reyes Shoal Apt. 384,Angelafort,Alabama,Svalbard & Jan Mayen Islands
18,Kimberly,Harrison,amanda41@example.net,10863 Cynthia Square,Michaelfort,Rhode Island,Comoros
19,Bradley,Medina,fordamy@example.net,10910 Sheryl Throughway,East Shannontown,Ohio,Russian Federation
20,Timothy,Rich,bethsoto@example.com,32539 Erin Trail,Port Joshuafort,Massachusetts,Afghanistan
21,Diana,Obrien,tgonzalez@example.net,9772 Horn Forest,East Mary,North Carolina,Russian Federation
22,Justin,George,ebrooks@example.org,74354 Clarence Pass Suite 586,Port Danielle,Delaware,Burundi
23,Brandon,Matthews,sandraroberts@example.com,09875 Wagner Fields Suite 340,North Deanna,North Dakota,Guadeloupe
24,Timothy,Leonard,lewislisa@example.org,773 Deanna Wall Apt. 581,Howardstad,Colorado,Wallis and Futuna
25,Jeff,Mata,navarrochristopher@example.net,5509 Hunt Parks,Port Michael,Wyoming,Gabon
26,Michael,Murray,xmendoza@example.net,47799 Jones Plains Apt. 859,Haleymouth,Mississippi,Peru
27,Michael,Werner,jeffrey14@example.org,7918 Williams River Apt. 421,North Davidbury,Arizona,Timor-Leste
28,Kimberly,Hernandez,monicarios@example.com,2477 Joseph Street,South David,Hawaii,Djibouti
29,Thomas,Douglas,xpark@example.com,173 Novak Glen Apt. 195,West Kendra,Minnesota,Montenegro
30,Melissa,Kelley,guzmanjamie@example.com,056 Flores Lock Suite 382,Hansenside,Montana,Equatorial Guinea
31,Susan,Stevenson,marc25@example.net,921 Christopher Road,North Virginia,New Hampshire,Netherlands Antilles
32,Carol,Bell,seangriffith@example.net,0992 Brittney Ford Apt. 751,Lake Jennifer,Iowa,Uzbekistan
33,Amanda,Short,vanessa45@example.org,55680 Michael Haven,Rosemouth,Montana,San Marino
34,Dorothy,Lewis,pjohnson@example.net,0385 Kelley Track,East Krystalburgh,New Mexico,Timor-Leste
35,Joshua,Keith,kmartin@example.com,83082 Juan Crossroad,Andersonfurt,Virginia,Poland
36,William,Murray,parkermolly@example.com,7072 Barbara Ramp Apt. 612,Eugenechester,Washington,Tonga
37,Thomas,Armstrong,oconnorerica@example.com,89969 Valdez Fields,Port Randall,Pennsylvania,Liechtenstein
38,Brian,Casey,jonathanbolton@example.net,29011 Lang Lane,Lake Andrea,Rhode Island,Lao People's Democratic Republic
39,Jennifer,Montoya,alyssa56@example.org,8061 Edwards Branch,Vanessastad,Nevada,Latvia
40,Jesse,Brown,douglasmorris@example.org,36681 Boone Track,East Lisaville,Kentucky,Cote d'Ivoire
41,Ashley,Hurley,christophercarter@example.org,2731 Davis Meadow,Angelatown,Kansas,Sudan
